,precision,recall,f1-score,support
AIR_POLLUTION,1.0,0.800718132854578,0.8893320039880359,557.0
COLD_WAVE,0.5341365461847389,0.7777777777777778,0.6333333333333333,513.0
CYCLONE,0.5208613728129206,0.8029045643153527,0.6318367346938776,482.0
DROUGHT,1.0,0.78125,0.8771929824561403,480.0
FLOODS,0.13990267639902676,0.2161654135338346,0.16986706056129985,532.0
HAILSTORM,1.0,0.814663951120163,0.8978675645342312,491.0
HEATWAVE,0.0,0.0,0.0,446.0
LANDSLIDE,0.5082547169811321,0.8288461538461539,0.6301169590643275,520.0
THUNDERSTORM,0.5666666666666667,0.2505263157894737,0.34744525547445254,475.0
WILDFIRE,1.0,0.8115079365079365,0.895947426067908,504.0
accuracy,0.6162,0.6162,0.6162,0.6162
macro avg,0.6269821979044485,0.6084360245745271,0.5972939320173607,5000.0
weighted avg,0.6329909146459473,0.6162,0.6042665864259383,5000.0
