Class,precision,recall,f1-score,support
AIR_POLLUTION,1.0,0.8007,0.8893,557.0
COLD_WAVE,0.5341,0.7778,0.6333,513.0
CYCLONE,0.5209,0.8029,0.6318,482.0
DROUGHT,1.0,0.7812,0.8772,480.0
FLOODS,0.1399,0.2162,0.1699,532.0
HAILSTORM,1.0,0.8147,0.8979,491.0
HEATWAVE,0.0,0.0,0.0,446.0
LANDSLIDE,0.5083,0.8288,0.6301,520.0
THUNDERSTORM,0.5667,0.2505,0.3474,475.0
WILDFIRE,1.0,0.8115,0.8959,504.0
accuracy,0.6162,0.6162,0.6162,0.6162
macro avg,0.627,0.6084,0.5973,5000.0
weighted avg,0.633,0.6162,0.6043,5000.0
